Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse
2025-03-31,9.19,58.75,0.92,4.55,0.44,0.07,0.0243,541.49,ATAKP
2025-06-30,10.33,178.68,1.73,5.3,0.41,0.18,0.0682,192.9,ATAKP
2024-06-30,,,,,,,,,ATATP
2024-09-30,62.24,53.24,2.75,2.42,-0.23,13.11,7.4903,4.94,ATATP
2024-12-31,58.73,65.54,0.76,2.37,-0.42,7.03,4.4764,8.27,ATATP
2025-03-31,67.85,72.22,2.67,2.1,-0.4,5.42,4.0215,9.21,ATATP
2025-06-30,92.73,12.34,0.8,2.17,-0.05,30.62,38.3787,0.96,ATATP
2025-09-30,82.36,23.87,1.37,2.39,-0.1,12.35,19.0481,1.94,ATATP
2024-06-30,-37.68,-48.22,3.34,1.07,-2.9,-2.44,-2.6986,-11.09,ATEKS
2024-09-30,42.84,1.81,26.45,1.1,0.54,0.06,0.0692,432.58,ATEKS
2024-12-31,-11.23,-260.69,3.48,0.94,-0.94,-1.85,-2.4045,-12.45,ATEKS
2024-06-30,,,,,,,,,ATLAS
2024-09-30,,,,,,,,,ATLAS
2024-12-31,2.51,1.43,,410.12,,-1.42,-0.1129,-20.25,ATLAS
2025-03-31,9.92,12.75,,445.53,,-5.93,-0.3734,-6.13,ATLAS
2025-06-30,6.78,7.03,,420.47,,7.54,0.5445,4.2,ATLAS
2025-09-30,2.17,10.14,,67.6,,1.36,0.1073,21.32,ATLAS
2025-12-31,-0.46,-44.91,,372.26,,-8.71,-0.6539,-3.5,ATLAS
2024-06-30,,,,,,,,,AVHOL
2024-09-30,25.89,9.78,2.18,1.4,0.11,16.46,2.5359,3.68,AVHOL
2024-12-31,-1021.63,-39.92,270.11,1.26,-0.44,-2.92,-0.4632,-20.14,AVHOL
2025-03-31,19.8,28.32,34.53,3.04,0.06,52.11,18.9877,0.49,AVHOL
2025-06-30,27.02,74.67,23.34,3.27,0.21,10.99,4.771,1.96,AVHOL
2025-09-30,-38.98,-101.62,86.95,2.62,-0.4,-10.52,-4.444,-2.1,AVHOL
