Brut_Kar_Marji_%,BKM_Gecti,FaalGid_BrutKar_%,FGBK_Gecti,FinansGid_Gelir_%,FGG_Gecti,Cari_Oran,CO_Gecti,NetBorc_FAVOK,NB_Gecti,ROE_%,ROE_Gecti,Toplam_Puan,Maks_Puan,Hisse,Borsa,FK_Orani,FK_Gecti,EPS_Surekli_Artis,Icsel_Deger
64.18,EVET,80.92,HAYIR,4.66,EVET,1.94,EVET,2.33,EVET,1.94,HAYIR,4,8,MLAB,NASDAQ,,,,
45.72,EVET,32.43,HAYIR,3.19,EVET,2.34,HAYIR,0.84,EVET,70.3,EVET,4,8,GCMG,NASDAQ,,,,
69.97,EVET,18.26,EVET,2.1,EVET,2.49,HAYIR,-0.25,EVET,-2.15,HAYIR,4,8,MYGN,NASDAQ,,,,
85.99,EVET,164.04,HAYIR,9.18,EVET,2.48,HAYIR,-2.0,EVET,161.25,EVET,4,8,RARE,NASDAQ,,,,
49.47,EVET,94.05,HAYIR,2.97,EVET,1.76,EVET,2.81,EVET,2.24,HAYIR,4,8,LE,NASDAQ,,,,
11.11,HAYIR,18.1,EVET,1.39,EVET,1.91,EVET,0.88,EVET,2.22,HAYIR,4,8,OSW,NASDAQ,,,,
81.64,EVET,68.57,HAYIR,0.18,EVET,1.92,EVET,-1.5,EVET,3.36,HAYIR,4,8,NTCT,NASDAQ,,,,
11.14,HAYIR,143.66,HAYIR,1.35,EVET,1.59,EVET,-0.34,EVET,47.76,EVET,4,8,TOI,NASDAQ,,,,
69.27,EVET,67.3,HAYIR,1.46,EVET,2.0,EVET,-0.01,EVET,10.28,HAYIR,4,8,PBYI,NASDAQ,,,,
105.98,EVET,59.86,HAYIR,2.84,EVET,3.92,HAYIR,0.34,EVET,25.14,EVET,4,8,SEZL,NASDAQ,,,,
62.74,EVET,77.8,HAYIR,1.66,EVET,1.92,EVET,0.71,EVET,4.1,HAYIR,4,8,ALRM,NASDAQ,,,,
51.51,EVET,102.15,HAYIR,3.4,EVET,1.73,EVET,-10.95,EVET,-3.4,HAYIR,4,8,CERS,NASDAQ,,,,
41.23,EVET,61.46,HAYIR,0.93,EVET,1.72,EVET,1.45,EVET,8.21,HAYIR,4,8,HCKT,NASDAQ,,,,
67.68,EVET,222.85,HAYIR,7.71,EVET,1.96,EVET,0.12,EVET,-40.68,HAYIR,4,8,SOPH,NASDAQ,,,,
42.43,EVET,88.69,HAYIR,0.59,EVET,1.9,EVET,2.26,EVET,2.68,HAYIR,4,8,SHOO,NASDAQ,,,,
86.33,EVET,62.65,HAYIR,1.45,EVET,1.88,EVET,0.8,EVET,-3.48,HAYIR,4,8,CRNC,NASDAQ,,,,
46.1,EVET,39.5,HAYIR,2.29,EVET,1.51,EVET,-16.73,EVET,-10.9,HAYIR,4,8,XRAY,NASDAQ,,,,
66.98,EVET,11.73,EVET,5.98,EVET,4.89,HAYIR,0.2,EVET,8.74,HAYIR,4,8,ESEA,NASDAQ,,,,
91.47,EVET,63.71,HAYIR,2.43,EVET,2.42,HAYIR,0.15,EVET,68.47,EVET,4,8,RIGL,NASDAQ,,,,
58.35,EVET,65.67,HAYIR,5.36,EVET,0.79,HAYIR,1.08,EVET,43.14,EVET,4,8,BLKB,NASDAQ,,,,
43.28,EVET,92.42,HAYIR,0.4,EVET,1.92,EVET,-4.24,EVET,-16.73,HAYIR,4,8,XNET,NASDAQ,,,,
-165.0,HAYIR,-351.72,EVET,3.2,EVET,1.25,HAYIR,1.04,EVET,81.4,EVET,4,8,LFMDP,NASDAQ,,,,
72.47,EVET,157.13,HAYIR,5.33,EVET,1.1,HAYIR,-4.83,EVET,75.18,EVET,4,8,PLTK,NASDAQ,,,,
40.55,EVET,76.4,HAYIR,10.05,EVET,2.42,HAYIR,3.15,EVET,24.6,EVET,4,8,SBGI,NASDAQ,,,,
77.77,EVET,74.86,HAYIR,8.34,EVET,2.19,HAYIR,-1.3,EVET,80.95,EVET,4,8,XERS,NASDAQ,,,,
41.71,EVET,111.52,HAYIR,2.31,EVET,1.86,EVET,0.19,EVET,-6.47,HAYIR,4,8,SSII,NASDAQ,,,,
56.07,EVET,70.39,HAYIR,0.91,EVET,1.67,EVET,0.74,EVET,6.0,HAYIR,4,8,SCHL,NASDAQ,,,,
-28.64,HAYIR,-58.85,EVET,2.24,EVET,1.66,EVET,-0.44,EVET,-11.69,HAYIR,4,8,GSM,NASDAQ,,,,
68.89,EVET,78.84,HAYIR,3.36,EVET,1.7,EVET,1.73,EVET,8.01,HAYIR,4,8,BVS,NASDAQ,,,,
53.59,EVET,95.55,HAYIR,0.72,EVET,1.61,EVET,-0.83,EVET,0.14,HAYIR,4,8,IIIV,NASDAQ,,,,
90.76,EVET,146.33,HAYIR,0.27,EVET,1.13,HAYIR,0.81,EVET,58.12,EVET,4,8,AIP,NASDAQ,,,,
190.33,EVET,16.61,EVET,17.72,HAYIR,1.68,EVET,-0.08,EVET,5.77,HAYIR,4,8,PRAA,NASDAQ,,,,
1086658.33,EVET,-80.16,EVET,,,1.88,EVET,-0.06,EVET,-1.83,HAYIR,4,8,TIPT,NASDAQ,,,,
-45.59,HAYIR,-350.47,EVET,,,1.89,EVET,0.01,EVET,99.02,EVET,4,8,ADSE,NASDAQ,,,,
70.65,EVET,29761.19,HAYIR,3.23,EVET,0.73,HAYIR,0.09,EVET,31400.0,EVET,4,8,AVR,NASDAQ,,,,
78.52,EVET,80.97,HAYIR,0.78,EVET,1.15,HAYIR,-1.64,EVET,36.87,EVET,4,8,DCBO,NASDAQ,,,,
89.01,EVET,51.58,HAYIR,8.45,EVET,5.25,HAYIR,-0.03,EVET,36.26,EVET,4,8,AUPH,NASDAQ,,,,
314.93,EVET,-148.16,EVET,-202.43,EVET,0.59,HAYIR,-11.97,EVET,-3.97,HAYIR,4,8,NFBK,NASDAQ,,,,
76.77,EVET,89.86,HAYIR,2.2,EVET,1.65,EVET,1.96,EVET,0.78,HAYIR,4,8,ANGI,NASDAQ,,,,
45.4,EVET,77.54,HAYIR,7.05,EVET,1.67,EVET,1.09,EVET,-5.65,HAYIR,4,8,AMCX,NASDAQ,,,,
53.0,EVET,57.36,HAYIR,2.87,EVET,1.54,EVET,1.3,EVET,4.24,HAYIR,4,8,ACIW,NASDAQ,,,,
52.38,EVET,102.27,HAYIR,0.45,EVET,1.87,EVET,-4.32,EVET,-2.9,HAYIR,4,8,BZUN,NASDAQ,,,,
50.76,EVET,9.85,EVET,,,1.15,HAYIR,-2.48,EVET,1017.19,EVET,4,8,CURR,NASDAQ,,,,
69.48,EVET,12.53,EVET,11.49,EVET,4.52,HAYIR,-15.7,EVET,2.24,HAYIR,4,8,LPRO,NASDAQ,,,,
92.88,EVET,87.98,HAYIR,6.9,EVET,1.8,EVET,-0.29,EVET,-495.25,HAYIR,4,8,SMTI,NASDAQ,,,,
98.02,EVET,62.69,HAYIR,1.02,EVET,13.32,HAYIR,-1.55,EVET,20.87,EVET,4,8,DTIL,NASDAQ,,,,
83.55,EVET,15.14,EVET,5.79,EVET,0.7,HAYIR,1.11,EVET,1.79,HAYIR,4,8,KGEI,NASDAQ,,,,
48.16,EVET,26.55,EVET,,,0.97,HAYIR,0.21,EVET,47.73,EVET,4,8,AAPL,NASDAQ,,,,
83.02,EVET,2.42,EVET,14.64,EVET,,,0.59,EVET,4.44,HAYIR,4,8,BANX,NASDAQ,,,,
81.24,EVET,172.73,HAYIR,7.1,EVET,0.57,HAYIR,0.21,EVET,69.8,EVET,4,8,RCEL,NASDAQ,,,,
53.46,EVET,8048.2,HAYIR,11.15,EVET,2.79,HAYIR,0.38,EVET,118.03,EVET,4,8,IMDX,NASDAQ,,,,
328.64,EVET,9.01,EVET,3.56,EVET,,,0.58,EVET,4.78,HAYIR,4,8,JRVR,NASDAQ,,,,
96.99,EVET,8.2,EVET,1.92,EVET,1.02,HAYIR,3.52,EVET,2.5,HAYIR,4,8,HOVNP,NASDAQ,,,,
15.88,HAYIR,27.5,EVET,0.07,EVET,1.21,HAYIR,-0.76,EVET,20.67,EVET,4,8,JLHL,NASDAQ,,,,
70.58,EVET,64.35,HAYIR,1.52,EVET,1.37,HAYIR,0.54,EVET,28.84,EVET,4,8,NTAP,NASDAQ,,,,
63.82,EVET,29.35,EVET,1.17,EVET,6.71,HAYIR,-0.03,EVET,10.35,HAYIR,4,8,ADMA,NASDAQ,,,,
44.49,EVET,130.8,HAYIR,0.25,EVET,2.0,EVET,1.83,EVET,-4.27,HAYIR,4,8,CHSN,NASDAQ,,,,
54.68,EVET,17.96,EVET,11.55,EVET,2.46,HAYIR,3.29,EVET,5.75,HAYIR,4,8,SHC,NASDAQ,,,,
-10.93,HAYIR,-573.9,EVET,3.13,EVET,1.89,EVET,0.67,EVET,-37.04,HAYIR,4,8,HCAT,NASDAQ,,,,
-0.85,HAYIR,-1515.02,EVET,0.13,EVET,1.99,EVET,-134.33,EVET,-0.98,HAYIR,4,8,MAYS,NASDAQ,,,,
70.67,EVET,53.96,HAYIR,7.29,EVET,1.69,EVET,3.04,EVET,-1.83,HAYIR,4,8,WW,NASDAQ,,,,
101.7,EVET,78.86,HAYIR,7.5,EVET,1.4,HAYIR,0.09,EVET,32.53,EVET,4,8,LQDA,NASDAQ,,,,
43.91,EVET,149.38,HAYIR,8.87,EVET,1.7,EVET,-25.44,EVET,-13.06,HAYIR,4,8,WALD,NASDAQ,,,,
42.08,EVET,74.84,HAYIR,0.88,EVET,1.25,HAYIR,0.44,EVET,24.35,EVET,4,8,FLWS,NASDAQ,,,,
28.82,HAYIR,1.1,EVET,9.21,EVET,5.28,HAYIR,3.14,EVET,34.58,EVET,4,8,FTAIN,NASDAQ,,,,
425.89,EVET,-59.1,EVET,-44.54,EVET,0.25,HAYIR,-4.67,EVET,-19.78,HAYIR,4,8,TCPC,NASDAQ,,,,
34.84,HAYIR,22.03,EVET,5.12,EVET,1.78,EVET,1.17,EVET,2.66,HAYIR,4,8,SBLK,NASDAQ,,,,
57.38,EVET,73.32,HAYIR,2.58,EVET,1.55,EVET,2.93,EVET,-18.05,HAYIR,4,8,FOSL,NASDAQ,,,,
51.78,EVET,27.6,EVET,10.57,EVET,,,2.1,EVET,4.38,HAYIR,4,8,SHIP,NASDAQ,,,,
68.43,EVET,29.88,EVET,1.03,EVET,2.29,HAYIR,-0.34,EVET,3.1,HAYIR,4,8,PCYO,NASDAQ,,,,
28.82,HAYIR,1.1,EVET,9.21,EVET,5.28,HAYIR,3.14,EVET,34.58,EVET,4,8,FTAIM,NASDAQ,,,,
86.66,EVET,128.59,HAYIR,11.0,EVET,2.8,HAYIR,-1.11,EVET,28.8,EVET,4,8,TLSI,NASDAQ,,,,
40.07,EVET,55.28,HAYIR,1.68,EVET,1.98,EVET,0.69,EVET,13.7,HAYIR,4,8,TBCH,NASDAQ,,,,
65.47,EVET,5047.26,HAYIR,346.88,HAYIR,1.62,EVET,-0.2,EVET,368.55,EVET,4,8,HUMA,NASDAQ,,,,
