Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse,BKM_Filtre,FGBK_Filtre,FGG_Filtre,FK_Filtre,FS_Filtre,CO_Filtre,NB_Filtre,ROE_Filtre,EPS_Artis_Filtre,Icsel_Deger,Toplam_Gecilen
,-17.19,-4.53,12.71,1.13,0.11,0.49,0.0452,158.91,AKSUE,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,4.47,3
,29.38,79.57,48.38,0.69,0.12,10.5,0.2829,2.31,AKYHO,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,27.97,2
,13.27,247.99,1.68,1.95,-0.81,1.29,0.0442,14.81,AKYHO,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,4.37,4
,-118.07,-21.94,46.91,2.82,0.05,-17.45,-0.471,-1.39,AKYHO,GECMEDI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,6.3,508.43,12.57,1.71,-0.16,-6.4,-0.1347,-4.86,AKYHO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,,3
,10.93,164.01,19.78,2.62,0.01,7.07,0.1672,3.92,AKYHO,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,16.53,2
,,,,,,,,,ALARK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,ALARK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,-107.69,-127.62,27.21,1.02,0.63,2.69,3.7215,6.18,ALARK,GECMEDI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,367.9,3
,0.65,9186.76,138.28,0.93,-6.86,-3.64,-5.3362,-4.31,ALARK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,-7.32,-401.73,114.37,0.95,2.03,-1.23,-1.8242,-12.61,ALARK,GECMEDI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,24.1,120.63,47.63,0.94,0.93,4.37,7.2748,3.16,ALARK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,719.17,2
,-23.17,-16.93,100.58,0.82,2.66,-1.2,-2.0474,-11.23,ALARK,GECMEDI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,,,,,,,,,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,3.08,0.2459,8.47,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,24.31,1
,,,,,,39.83,3.2469,0.64,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECTI,GECMEDI,320.98,2
,,,,,,7.09,0.6224,3.35,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,61.53,1
,,,,,,6.31,0.6025,3.46,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,59.56,1
,,,,,,13.38,1.5351,1.36,ALBRK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,151.76,1
,,,,1.66,,,,,ALCAR,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECTI,GECMEDI,GECMEDI,GECMEDI,,1
,,,,,,,,,ALCAR,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,-90.02,-188.29,15.74,2.28,0.3,29.88,71.0902,2.67,ALCAR,GECMEDI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECTI,GECMEDI,7027.77,4
,15.9,151.71,4.56,2.16,-0.73,-8.2,-19.9331,-9.52,ALCAR,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,22.59,88.7,2.79,1.9,24.9,-2.82,-5.2811,-35.93,ALCAR,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECMEDI,GECMEDI,GECMEDI,,2
,20.7,81.19,4.8,1.92,8.69,-3.42,-6.679,-28.41,ALCAR,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECMEDI,GECMEDI,GECMEDI,,2
